read,pool,length,PC1,PC2,cluster
0018f311-8900-4c5b-8854-073e28908f51,260526-MBTA_Da-NAS-P1,2465,0.01103996745835956,0.012190329544639592,0
00191173-0ec2-4034-aa9c-1bc7b926d535,260526-MBTA_Da-NAS-P1,3666,-0.0048010671323667565,0.0029646537038783356,4
001c8422-39c5-4ce2-bc10-8baa2ec5b7b3,260526-MBTA_Da-NAS-P1,1942,-0.007789338810879273,-0.005549585726345986,1
001e8873-7fd2-4587-902c-0ebb4cd1ea11,260526-MBTA_Da-NAS-P1,1959,0.007421123636081198,-0.0080276657991438,1
00210c9d-745f-43c5-9286-24f6a1ea3948,260526-MBTA_Da-NAS-P1,2618,-0.0038236431463210202,-0.005944200084597317,1
00219a62-1941-4f2d-a28e-8a3c37259401,260526-MBTA_Da-NAS-P1,3080,-0.011528182610188419,0.0003338972693054114,3
0022ba83-9741-4896-a8c9-94e3a57fab9f,260526-MBTA_Da-NAS-P1,5617,0.0010747138203991355,-0.0035449469251071382,1
002333f5-93a2-4ca2-8d8e-492e5d8b5fa9,260526-MBTA_Da-NAS-P1,2327,-0.007365357095204597,-0.0024711092382036456,3
0023f850-4efb-4089-bdbc-c39879930c0d,260526-MBTA_Da-NAS-P1,4038,-0.008526463844807177,0.003397671456049289,4
00241a43-0e39-418d-9a55-f6466b104073,260526-MBTA_Da-NAS-P1,3086,-0.012461265760072934,0.0003700163207361511,3
00249f05-1402-44ee-8cc7-ddd8e20a96ec,260526-MBTA_Da-NAS-P1,4032,-0.007939843114788417,0.003244739487938457,4
0026d956-51f5-4fc0-8323-d182a4fb27f7,260526-MBTA_Da-NAS-P1,2766,-0.01262482915956343,0.0027940605483254594,3
0027aad2-fb58-48c2-829b-c5a78c3cac59,260526-MBTA_Da-NAS-P1,2734,-0.007050694917290136,0.0037644269404664664,4
0027c646-4388-4d61-85b4-c50215e50c3f,260526-MBTA_Da-NAS-P1,3756,0.000655125235854417,-0.00567867241767929,1
0027fa05-7eab-4d5b-9f32-720a4966e78c,260526-MBTA_Da-NAS-P1,1996,-0.014844185952996008,0.002174934973096128,3
0028cdb1-8f36-4935-89a7-e7ab1cc956b2,260526-MBTA_Da-NAS-P1,2264,0.011921480212393887,-0.006284934523194823,2
0029bee2-c304-4a9b-812b-87677c4a8098,260526-MBTA_Da-NAS-P1,4069,0.008540327621890805,-0.004177030234339121,2
002a920c-80da-46b7-ab8e-d9ebe0416f76,260526-MBTA_Da-NAS-P1,5321,0.007909347547060682,0.01419356996632319,0
002a9863-8bfe-4149-8f5a-e60bf3e416b2,260526-MBTA_Da-NAS-P1,2374,-0.008163012251249721,-0.004291668087945224,1
002b2ab3-db1f-45a3-a80f-ecf3e55c344a,260526-MBTA_Da-NAS-P1,1801,-0.014872495888803407,0.0013035974933665474,3
002b620b-00d9-43e7-b498-912cfc900486,260526-MBTA_Da-NAS-P1,2632,0.013575288322626085,-0.002720787197149997,2
002b9c7e-2d61-44bb-b8bb-1bd27ee141de,260526-MBTA_Da-NAS-P1,3384,0.01092505709698588,-0.005132709851793656,2
002ba333-4d77-4b41-9a6a-d36da0b3a8ef,260526-MBTA_Da-NAS-P1,3022,0.008718212034170052,-0.007052492352659421,2
002bfdf6-2cf6-4d98-bab6-6bc6726743ef,260526-MBTA_Da-NAS-P1,3875,-0.007343644430356015,-0.001911458016096349,3
002d3427-2ccb-470a-b6d8-7e71454b00ee,260526-MBTA_Da-NAS-P1,3034,-0.009368952434407475,-0.0023073523238250613,3
002d4755-d4f5-471f-b1ac-afe663a4f982,260526-MBTA_Da-NAS-P1,2995,0.0021677414602983168,-0.006789882926772101,1
002d56d5-abce-4639-b69e-50812a798604,260526-MBTA_Da-NAS-P1,3262,-0.0028299543777076056,-0.0047291199420504085,1
002d9651-7f8e-4815-b2ed-c7201faed5f0,260526-MBTA_Da-NAS-P1,3460,0.0016772607725567493,0.014049369121912554,0
002dcc33-11ab-4e9c-b5db-1eebf4b4baa4,260526-MBTA_Da-NAS-P1,2718,-0.013375732419360084,0.0013602402179634068,3
002e9c91-9099-42c9-8ed1-1eecb37d7b95,260526-MBTA_Da-NAS-P1,2559,-0.01132003491560914,0.00017862027734649516,3
002fc048-c1af-4a74-a3d3-4313d52ca5d6,260526-MBTA_Da-NAS-P1,1497,0.00955539943837099,0.00042284636615967305,2
